Section,Item_ID,Title,Pipeline_Route,Type,Quarter,Status,Prior_Quarter_Metric_Hit,Owner,Estimate_Working_Days,Slot_Week,Displaced_Alternative,Rationale,Falsifiable_Claim,Notes
3_bets_committed,BET-2,Vahla launch hero film cycle,gear-launch-sequence,committed,Q3,locked,n/a,Beth,12,W3,BET-C6 ambassador signing,Anchor bet for Q3 brand-building,Launch reveal lifts pre-orders 20%+,
3_bets_committed,BET-3,Channel-mix simulator on autumn budget,channel-mix-simulator,committed,Q3,locked,n/a,Saoirse,3,W4,BET-C9 SEO cluster,Continue compounding Q2 win,Reallocation lifts ROAS 10%+,
3_bets_committed,BET-4,Lifecycle journey for Storm Shell,lifecycle-journey-builder,committed,Q3,locked,n/a,Beth,7,W6,BET-C11 race-day refresh,Storm Shell launch needs lifecycle,Lifecycle journey lifts second-order +12pp,
3_bets_committed,BET-5,Crash programme story library,customer-content-rights,committed,Q3,locked,n/a,Beth,4,W8,BET-C12 paid search agent,Strongest social proof source,Story library out-engages brand content 3x,
3_bets_committed,BET-6,Attribution teardown rerun,attribution-teardown,committed,Q3,locked,n/a,Saoirse,5,W9,BET-C4 voice extraction v2,Need before autumn budget locks,Rerun shifts at least one budget line,
3_bets_committed,BET-7,Brand voice extraction v2,brand-voice-extraction,committed,Q3,locked,n/a,Beth,5,W5,BET-C8 attribution overlap,18-month refresh due,Refresh catches drift in 30%+ outputs,Could not fit BET-C6 or BET-C10
4_retires,RETIRE-1,Quarterly trail-marathon partnership pack,trail-marathon-partnership,retire,Q3,retiring,no,Marcus,n/a,n/a,n/a,Three quarters of misses, no clear path to outcome,n/a,Publicly thank the original builder
4_retires,RETIRE-2,Weekly LinkedIn long-form,linkedin-thought-leadership,retire,Q3,retiring,no,Beth,n/a,n/a,n/a,Engagement halved YoY audience wrong fit,n/a,Move energy to athlete-led content
4_retires,RETIRE-3,Monthly print mailer,direct-mail,retire,Q3,retiring,no,Saoirse,n/a,n/a,n/a,Cost per response 8x other channels,n/a,Keep one annual mailer for top-tier members
5_metric_story,STORY-1,Q2 metric story for board,n/a,narrative,Q3,drafting,n/a,Marcus,1,W1,n/a,One-page narrative on Q2 outcomes,n/a,For board pack July
